fund_code,period,rank,stock_code,stock_name,pct,shares,mkt_val
000082,2021Q1,1,600036,招商银行,3.81%,25.94,1325.41
000082,2021Q1,2,601318,中国平安,3.77%,16.67,1311.81
000082,2021Q1,3,600519,贵州茅台,2.96%,0.51,1029.41
000082,2021Q1,4,002415,海康威视,2.86%,17.82,996.14
000082,2021Q1,5,000858,五粮液,2.52%,3.28,878.97
000082,2021Q1,6,002142,宁波银行,2.12%,19.02,739.37
000082,2021Q1,7,000776,广发证券,1.93%,42.89,672.09
000082,2021Q1,8,601166,兴业银行,1.84%,26.65,642.05
000082,2021Q1,9,000333,美的集团,1.64%,6.96,572.32
000082,2021Q1,10,000568,泸州老窖,1.57%,2.43,546.8
000082,2020Q1,1,601318,中国平安,4.30%,27.33,2377.03
000082,2020Q1,2,600036,招商银行,3.16%,39.78,1748.22
000082,2020Q1,3,600519,贵州茅台,2.50%,0.69,1383.42
000082,2020Q1,4,601336,新华保险,2.24%,21.39,1239.71
000082,2020Q1,5,002475,立讯精密,2.17%,21.33,1196.83
000082,2020Q1,6,000858,五粮液,2.11%,4.0,1167.4
000082,2020Q1,7,000799,酒鬼酒,1.93%,6.81,1065.77
000082,2020Q1,8,002142,宁波银行,1.89%,29.6,1045.95
000082,2020Q1,9,000333,美的集团,1.88%,10.53,1036.57
000082,2020Q1,10,300750,宁德时代,1.74%,2.74,962.04
000082,2020Q2,1,600036,招商银行,3.26%,44.57,1604.43
000082,2020Q2,2,002475,立讯精密,2.93%,25.23,1441.17
000082,2020Q2,3,601318,中国平安,2.87%,18.53,1412.94
000082,2020Q2,4,601336,新华保险,2.81%,22.29,1383.47
000082,2020Q2,5,600519,贵州茅台,2.18%,0.64,1071.84
000082,2020Q2,6,002142,宁波银行,2.13%,33.2,1045.03
000082,2020Q2,7,600030,中信证券,1.98%,32.47,975.07
000082,2020Q2,8,000858,五粮液,1.77%,3.93,868.53
000082,2020Q2,9,000333,美的集团,1.68%,11.37,825.46
000082,2020Q2,10,601688,华泰证券,1.64%,39.16,803.98
000082,2020Q3,1,601318,中国平安,4.10%,22.45,1602.63
000082,2020Q3,2,600036,招商银行,3.79%,43.95,1481.91
000082,2020Q3,3,600519,贵州茅台,3.37%,0.9,1320.1
000082,2020Q3,4,002475,立讯精密,3.24%,24.73,1269.69
000082,2020Q3,5,601688,华泰证券,2.23%,46.4,872.32
000082,2020Q3,6,601336,新华保险,2.17%,19.18,849.08
000082,2020Q3,7,002142,宁波银行,2.17%,32.32,848.96
000082,2020Q3,8,600276,恒瑞医药,1.84%,7.81,721.04
000082,2020Q3,9,000858,五粮液,1.79%,4.09,699.88
000082,2020Q3,10,600030,中信证券,1.72%,27.93,673.39
000082,2020Q4,1,601318,中国平安,4.47%,30.29,2094.87
000082,2020Q4,2,600036,招商银行,3.73%,54.22,1750.14
000082,2020Q4,3,600519,贵州茅台,3.18%,1.34,1491.41
000082,2020Q4,4,601688,华泰证券,2.34%,63.69,1097.38
000082,2020Q4,5,002475,立讯精密,2.26%,27.75,1058.94
000082,2020Q4,6,601336,新华保险,2.24%,26.33,1047.75
000082,2020Q4,7,600030,中信证券,1.81%,38.33,849.39
000082,2020Q4,8,000651,格力电器,1.81%,16.22,846.68
000082,2020Q4,9,002142,宁波银行,1.74%,35.45,817.4
000082,2020Q4,10,601166,兴业银行,1.57%,46.3,736.66
000309,2021Q1,1,002609,捷顺科技,9.45%,270.7,2471.49
000309,2021Q1,2,601166,兴业银行,9.21%,100.01,2409.24
000309,2021Q1,3,002376,新北洋,9.01%,249.13,2356.79
000309,2021Q1,4,000001,平安银行,8.31%,98.8,2174.59
000309,2021Q1,5,002627,宜昌交运,6.75%,312.5,1765.6
000309,2021Q1,6,002594,比亚迪,5.35%,8.5,1398.34
000309,2021Q1,7,600438,通威股份,5.13%,41.0,1342.34
000309,2021Q1,8,688063,派能科技,3.92%,6.49,1026.28
000309,2021Q1,9,000066,中国长城,3.91%,68.77,1021.92
000309,2021Q1,10,688390,固德威,3.88%,4.9,1013.77
000309,2020Q1,1,002376,新北洋,9.44%,321.89,3032.18
000309,2020Q1,2,002609,捷顺科技,8.92%,308.0,2867.48
000309,2020Q1,3,000001,平安银行,8.53%,141.8,2742.41
000309,2020Q1,4,601166,兴业银行,8.49%,130.81,2730.0
000309,2020Q1,5,000651,格力电器,6.38%,33.08,2048.98
000309,2020Q1,6,002212,天融信,6.00%,91.82,1929.15
000309,2020Q1,7,002627,宜昌交运,5.68%,344.59,1826.3
000309,2020Q1,8,603259,药明康德,4.88%,11.65,1569.49
000309,2020Q1,9,600872,中炬高新,4.47%,21.53,1434.97
000309,2020Q1,10,002241,歌尔股份,3.83%,33.0,1231.56
000309,2020Q2,1,002594,比亚迪,9.07%,23.9,2777.8
000309,2020Q2,2,002376,新北洋,8.99%,275.89,2753.36
000309,2020Q2,3,002609,捷顺科技,8.93%,220.7,2736.68
000309,2020Q2,4,002460,赣锋锂业,8.84%,50.0,2709.5
000309,2020Q2,5,002627,宜昌交运,8.45%,398.51,2590.29
000309,2020Q2,6,600438,通威股份,7.47%,86.05,2287.21
000309,2020Q2,7,002212,天融信,6.81%,90.82,2087.06
000309,2020Q2,8,300750,宁德时代,5.51%,8.07,1688.24
000309,2020Q2,9,603259,药明康德,3.85%,11.62,1179.43
000309,2020Q2,10,600030,中信证券,3.53%,36.0,1081.08
000309,2020Q3,1,002609,捷顺科技,9.48%,274.95,3505.61
000309,2020Q3,2,002376,新北洋,9.12%,331.13,3374.19
000309,2020Q3,3,002627,宜昌交运,7.39%,480.66,2734.94
000309,2020Q3,4,002594,比亚迪,6.91%,35.6,2555.87
000309,2020Q3,5,000063,中兴通讯,5.93%,54.64,2192.7
000309,2020Q3,6,002212,天融信,5.71%,79.53,2113.89
000309,2020Q3,7,002460,赣锋锂业,5.65%,39.0,2089.23
000309,2020Q3,8,600438,通威股份,5.34%,113.65,1975.24
000309,2020Q3,9,300750,宁德时代,5.22%,11.07,1930.17
000309,2020Q3,10,300078,思创医惠,4.14%,113.08,1529.97
000309,2020Q4,1,002376,新北洋,9.01%,282.54,3071.18
000309,2020Q4,2,002627,宜昌交运,8.48%,323.66,2890.32
000309,2020Q4,3,002609,捷顺科技,7.38%,251.85,2515.98
000309,2020Q4,4,002594,比亚迪,6.90%,39.23,2352.45
000309,2020Q4,5,600030,中信证券,6.44%,98.94,2192.51
000309,2020Q4,6,000063,中兴通讯,6.38%,50.8,2174.24
000309,2020Q4,7,300078,思创医惠,5.96%,179.7,2030.61
000309,2020Q4,8,002212,天融信,3.99%,58.95,1360.55
000309,2020Q4,9,600276,恒瑞医药,3.41%,12.63,1162.34
000309,2020Q4,10,002695,煌上煌,3.24%,50.03,1104.66
000326,2021Q1,1,600741,华域汽车,4.10%,29.8,821.59
000326,2021Q1,2,000860,顺鑫农业,2.92%,12.44,583.72
000326,2021Q1,3,601009,南京银行,2.91%,57.51,582.0
000326,2021Q1,4,603517,绝味食品,2.70%,7.03,541.31
000326,2021Q1,5,000671,阳光城,2.62%,86.29,524.66
000326,2021Q1,6,600346,恒力石化,2.59%,17.69,518.85
000326,2021Q1,7,603259,药明康德,2.19%,3.12,437.42
000326,2021Q1,8,600570,恒生电子,2.03%,4.84,406.29
000326,2021Q1,9,002459,晶澳科技,1.98%,13.74,396.81
000326,2021Q1,10,600779,水井坊,1.96%,5.49,392.7
000326,2020Q1,1,600779,水井坊,3.25%,8.83,733.07
000326,2020Q1,2,601128,常熟银行,3.14%,96.11,709.29
000326,2020Q1,3,002127,南极电商,2.96%,48.78,667.31
000326,2020Q1,4,000671,阳光城,2.49%,86.29,562.63
000326,2020Q1,5,002979,雷赛智能,2.26%,11.5,509.91
000326,2020Q1,6,603517,绝味食品,2.12%,6.17,478.42
000326,2020Q1,7,300558,贝达药业,2.11%,4.44,476.72
000326,2020Q1,8,000998,隆平高科,2.08%,23.74,470.29
000326,2020Q1,9,603658,安图生物,2.05%,3.19,463.12
000326,2020Q1,10,000961,中南建设,2.02%,51.77,457.13
000326,2020Q2,1,600779,水井坊,2.58%,8.71,561.8
000326,2020Q2,2,000860,顺鑫农业,2.51%,9.09,546.75
000326,2020Q2,3,002127,南极电商,2.44%,30.78,531.26
000326,2020Q2,4,603866,桃李面包,2.15%,7.87,469.2
000326,2020Q2,5,002299,圣农发展,2.09%,20.85,456.2
000326,2020Q2,6,000961,中南建设,2.09%,49.61,454.92
000326,2020Q2,7,601607,上海医药,2.08%,22.28,452.51
000326,2020Q2,8,000998,隆平高科,2.07%,24.69,452.07
000326,2020Q2,9,600176,中国巨石,2.03%,30.65,442.59
000326,2020Q2,10,000513,丽珠集团,2.02%,8.96,440.92
000326,2020Q3,1,600176,中国巨石,3.61%,65.02,594.93
000326,2020Q3,2,603589,口子窖,3.29%,10.65,542.09
000326,2020Q3,3,002597,金禾实业,3.17%,22.74,522.42
000326,2020Q3,4,002299,圣农发展,2.48%,14.08,408.32
000326,2020Q3,5,601607,上海医药,2.38%,21.31,391.68
000326,2020Q3,6,002459,晶澳科技,2.34%,20.48,384.61
000326,2020Q3,7,000998,隆平高科,2.19%,21.65,360.47
000326,2020Q3,8,002867,周大生,2.13%,15.8,350.29
000326,2020Q3,9,603232,格尔软件,2.08%,11.12,342.58
000326,2020Q3,10,000028,国药一致,1.99%,7.28,327.67
000326,2020Q4,1,601577,长沙银行,3.82%,68.38,528.58
000326,2020Q4,2,601838,成都银行,3.72%,68.38,514.9
000326,2020Q4,3,600176,中国巨石,3.72%,65.02,513.66
000326,2020Q4,4,002597,金禾实业,3.33%,22.74,460.33
000326,2020Q4,5,600068,葛洲坝,3.30%,65.33,456.0
000326,2020Q4,6,603589,口子窖,3.19%,10.65,440.48
000326,2020Q4,7,000998,隆平高科,2.84%,21.65,392.3
000326,2020Q4,8,000028,国药一致,2.71%,9.38,374.73
000326,2020Q4,9,600511,国药股份,2.30%,11.26,318.33
000326,2020Q4,10,601997,贵阳银行,2.04%,36.78,281.73
000409,2021Q1,1,300750,宁德时代,9.20%,39.57,12749.72
000409,2021Q1,2,601012,隆基股份,7.73%,121.78,10716.98
000409,2021Q1,3,300014,亿纬锂能,6.04%,111.51,8379.77
000409,2021Q1,4,600900,长江电力,4.78%,309.21,6629.46
000409,2021Q1,5,603801,志邦家居,4.01%,96.45,5564.94
000409,2021Q1,6,300450,先导智能,3.57%,62.65,4948.93
000409,2021Q1,7,300124,汇川技术,3.47%,56.23,4808.23
000409,2021Q1,8,603659,璞泰来,3.27%,47.68,4529.6
000409,2021Q1,9,300073,当升科技,3.16%,92.6,4386.64
000409,2021Q1,10,002415,海康威视,3.08%,76.43,4272.44
000409,2020Q1,1,300750,宁德时代,8.09%,26.43,9280.4
000409,2020Q1,2,002475,立讯精密,6.59%,134.69,7558.75
000409,2020Q1,3,300014,亿纬锂能,5.49%,77.22,6293.81
000409,2020Q1,4,300124,汇川技术,5.17%,63.55,5929.22
000409,2020Q1,5,300037,新宙邦,4.74%,53.59,5434.03
000409,2020Q1,6,300073,当升科技,4.28%,75.75,4912.39
000409,2020Q1,7,601012,隆基股份,4.00%,49.71,4583.51
000409,2020Q1,8,002979,雷赛智能,2.99%,77.44,3433.69
000409,2020Q1,9,300450,先导智能,2.80%,38.19,3207.8
000409,2020Q1,10,002851,麦格米特,2.77%,93.35,3179.51
000409,2020Q2,1,603686,龙马环卫,6.22%,141.82,3169.68
000409,2020Q2,2,300750,宁德时代,5.47%,13.32,2786.88
000409,2020Q2,3,300124,汇川技术,4.98%,43.79,2535.44
000409,2020Q2,4,002475,立讯精密,4.90%,43.71,2497.04
000409,2020Q2,5,300014,亿纬锂能,4.35%,44.82,2218.82
000409,2020Q2,6,601012,隆基股份,4.10%,27.82,2086.98
000409,2020Q2,7,600438,通威股份,3.46%,66.24,1760.66
000409,2020Q2,8,002594,比亚迪,3.45%,15.12,1757.55
000409,2020Q2,9,600323,瀚蓝环境,2.70%,49.16,1376.34
000409,2020Q2,10,002050,三花智控,2.45%,56.14,1246.31
000409,2020Q3,1,002475,立讯精密,6.06%,36.08,1852.61
000409,2020Q3,2,300750,宁德时代,5.45%,9.54,1663.67
000409,2020Q3,3,603686,龙马环卫,4.94%,61.87,1507.77
000409,2020Q3,4,002616,长青集团,4.84%,130.31,1479.03
000409,2020Q3,5,300014,亿纬锂能,3.79%,24.17,1156.76
000409,2020Q3,6,600323,瀚蓝环境,3.28%,45.8,1001.99
000409,2020Q3,7,600406,国电南瑞,3.26%,49.22,996.73
000409,2020Q3,8,600438,通威股份,2.87%,50.47,877.17
000409,2020Q3,9,300124,汇川技术,2.75%,22.13,840.72
000409,2020Q3,10,601012,隆基股份,2.56%,19.22,782.94
000409,2020Q4,1,002616,长青集团,5.22%,147.97,1194.13
000409,2020Q4,2,600406,国电南瑞,4.70%,54.36,1073.63
000409,2020Q4,3,300750,宁德时代,4.63%,8.79,1058.42
000409,2020Q4,4,002475,立讯精密,4.47%,26.76,1021.28
000409,2020Q4,5,300014,亿纬锂能,3.64%,14.33,832.72
000409,2020Q4,6,600323,瀚蓝环境,3.64%,41.65,831.23
000409,2020Q4,7,603686,龙马环卫,3.33%,55.16,760.66
000409,2020Q4,8,601012,隆基股份,2.86%,26.27,652.61
000409,2020Q4,9,600438,通威股份,2.70%,53.12,616.72
000409,2020Q4,10,300124,汇川技术,2.23%,19.71,509.5
000411,2021Q1,1,600519,贵州茅台,5.10%,0.11,220.99
000411,2021Q1,2,601318,中国平安,4.42%,2.43,191.33
000411,2021Q1,3,600036,招商银行,3.85%,3.26,166.59
000411,2021Q1,4,002736,国信证券,2.60%,9.43,112.78
000411,2021Q1,5,601328,交通银行,2.59%,22.64,112.07
000411,2021Q1,6,600809,山西汾酒,2.46%,0.32,106.5
